english	translation	category	sub_category	source
All		interface	chatButtons	
Game 		interface	chatButtons	
Public 		interface	chatButtons	
Private 		interface	chatButtons	
 On		interface	chatButtons	
Channel 		interface	chatButtons	
Clan 		interface	chatButtons	
Trade 		interface	chatButtons	
Group 		interface	chatButtons	
 <colNum0>Autochat</col>		interface	chatButtons	
 <colNum0>Friends</col>		interface	chatButtons	
 <colNum0>Filtered</col>		interface	chatButtons	
 <colNum0>Hide</col>		interface	chatButtons	
 <colNum0>Off</col>		interface	chatButtons	
Combat Achievements - Overview		interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points		interface	combAchvmt	
Difficulty Tiers		interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>		interface	combAchvmt	
Easy		interface	combAchvmt	
Medium		interface	combAchvmt	
Hard		interface	combAchvmt	
Elite		interface	combAchvmt	
Master		interface	combAchvmt	
Grandmaster		interface	combAchvmt	
Tasks Completed:		interface	combAchvmt	
Boss Kill Count:		interface	combAchvmt	
Skilling Boss Kill Count:		interface	combAchvmt	
Raid Completions:		interface	combAchvmt	
Top Boss:		interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)		interface	combAchvmt	
Top Skilling Boss:		interface	combAchvmt	
Top Raid:		interface	combAchvmt	
Nothing!		interface	combAchvmt	
Overview		interface	combAchvmt	
Tasks		interface	combAchvmt	
Bosses		interface	combAchvmt	
Rewards		interface	combAchvmt	
Combat Achievements - Tasks		interface	combAchvmt	
There are no tasks available to you that match your filters.		interface	combAchvmt	
Filters		interface	combAchvmt	
Tier:		interface	combAchvmt	
All		interface	combAchvmt	
Type:		interface	combAchvmt	
Monster:		interface	combAchvmt	
Completed:		interface	combAchvmt	
Noxious Foe		interface	combAchvmt	
Barrows Novice		interface	combAchvmt	
Defence? What Defence?		interface	combAchvmt	
Big, Black and Fiery		interface	combAchvmt	
The Demonic Punching Bag		interface	combAchvmt	
Bryophyta Novice		interface	combAchvmt	
Protection from Moss		interface	combAchvmt	
Preparation Is Key		interface	combAchvmt	
A Slow Death		interface	combAchvmt	
Fighting as Intended II		interface	combAchvmt	
Deranged Archaeologist Novice		interface	combAchvmt	
The Walking Volcano		interface	combAchvmt	
Into the Den of Giants		interface	combAchvmt	
A Greater Foe		interface	combAchvmt	
Not So Great After All		interface	combAchvmt	
A Demon's Best Friend		interface	combAchvmt	
Obor Novice		interface	combAchvmt	
Sleeping Giant		interface	combAchvmt	
Fighting as Intended		interface	combAchvmt	
King Black Dragon Novice		interface	combAchvmt	
A Scaley Encounter		interface	combAchvmt	
Shayzien Protector		interface	combAchvmt	
Giant Mole Novice		interface	combAchvmt	
Sarachnis Novice		interface	combAchvmt	
Wintertodt Novice		interface	combAchvmt	
Mummy!		interface	combAchvmt	
Handyman		interface	combAchvmt	
Cosy		interface	combAchvmt	
A Slithery Encounter		interface	combAchvmt	
Tempoross Novice		interface	combAchvmt	
Master of Buckets		interface	combAchvmt	
Calm Before the Storm		interface	combAchvmt	
Fire in the Hole!		interface	combAchvmt	
Scurrius Novice		interface	combAchvmt	
Sit Rat		interface	combAchvmt	
One by one		interface	combAchvmt	
Elemental Company		interface	combAchvmt	
Let them fight		interface	combAchvmt	
Sit Back and Relax		interface	combAchvmt	
Barrows Champion		interface	combAchvmt	
Can't Touch Me		interface	combAchvmt	
Pray for Success		interface	combAchvmt	
Brutal, Big, Black and Firey		interface	combAchvmt	
Bryophyta Champion		interface	combAchvmt	
Quick Cutter		interface	combAchvmt	
Demonic Weakening		interface	combAchvmt	
Demonbane Weaponry		interface	combAchvmt	
Chaos Fanatic Champion		interface	combAchvmt	
Sorry, What Was That?		interface	combAchvmt	
Crazy Archaeologist Champion		interface	combAchvmt	
Mage of the Ruins		interface	combAchvmt	
I'd Rather Not Learn		interface	combAchvmt	
Deranged Archaeologist Champion		interface	combAchvmt	
Mage of the Swamp		interface	combAchvmt	
I'd Rather Be Illiterate		interface	combAchvmt	
A Smashing Time		interface	combAchvmt	
Obor Champion		interface	combAchvmt	
Back to the Wall		interface	combAchvmt	
Squashing the Giant		interface	combAchvmt	
King Black Dragon Champion		interface	combAchvmt	
Claw Clipper		interface	combAchvmt	
Hide Penetration		interface	combAchvmt	
Antifire Protection		interface	combAchvmt	
Master of Broad Weaponry		interface	combAchvmt	
Giant Mole Champion		interface	combAchvmt	
Avoiding Those Little Arms		interface	combAchvmt	
Dagannoth Prime Champion		interface	combAchvmt	
Dagannoth Rex Champion		interface	combAchvmt	
A Frozen King		interface	combAchvmt	
Sarachnis Champion		interface	combAchvmt	
Newspaper Enthusiast		interface	combAchvmt	
A Frozen Foe from the Past		interface	combAchvmt	
Dagannoth Supreme Champion		interface	combAchvmt	
Wintertodt Champion		interface	combAchvmt	
Can We Fix It?		interface	combAchvmt	
Leaving No One Behind		interface	combAchvmt	
Skotizo Champion		interface	combAchvmt	
Tempoross Champion		interface	combAchvmt	
The Lone Angler		interface	combAchvmt	
Scurrius Champion		interface	combAchvmt	
Perfect Scurrius		interface	combAchvmt	
Efficient Pest Control		interface	combAchvmt	
Lunar Triplet		interface	combAchvmt	
Perilous Novice		interface	combAchvmt	
Back to Our Roots		interface	combAchvmt	
Moons of Peril Speed-Trialist		interface	combAchvmt	
Hueycoatl Champion		interface	combAchvmt	
You're a wizard		interface	combAchvmt	
Amoxliatl Champion		interface	combAchvmt	
Temotli Triumph		interface	combAchvmt	
Royal Titan Champion		interface	combAchvmt	
Royal Titan Adept		interface	combAchvmt	
It takes too long		interface	combAchvmt	
Abyssal Adept		interface	combAchvmt	
They Grow Up Too Fast		interface	combAchvmt	
Don't Whip Me		interface	combAchvmt	
Don't Stop Moving		interface	combAchvmt	
Kree'arra Adept		interface	combAchvmt	
Airborne Showdown		interface	combAchvmt	
General Graardor Adept		interface	combAchvmt	
Ourg Freezer		interface	combAchvmt	
General Showdown		interface	combAchvmt	
Just Like That		interface	combAchvmt	
