english	translation	category	sub_category	source
Barbarian Assault		manual	activity	
Blast Furnace		manual	activity	
Castle Wars		manual	activity	
Fishing Trawler		manual	activity	
Burthorpe Games Room		manual	activity	
Nightmare Zone		manual	activity	
Pest Control		manual	activity	
Rat Pits		manual	activity	
Shades of Mort'ton		manual	activity	
Trouble Brewing		manual	activity	
TzHaar Fight Pit		manual	activity	
Shield of Arrav		manual	activity	
Clan Wars		manual	activity	
Giants' Foundry		manual	activity	
God Wars		manual	activity	
Guardians of the Rift		manual	activity	
Dagannoth Kings		manual	activity	
Player Owned Houses		manual	activity	
Tithe Farm		manual	activity	
Last Man Standing		manual	activity	
Volcanic Mine		manual	activity	
Theatre of Blood		manual	activity	
Soul Wars		manual	activity	
Shooting Stars		manual	activity	
Tombs of Amascut		manual	activity	
Mage Training Arena		manual	activity	
Yes		manual	emote	
No		manual	emote	
Bow		manual	emote	
Angry		manual	emote	
Think		manual	emote	
Wave		manual	emote	
Shrug		manual	emote	
Cheer		manual	emote	
Beckon		manual	emote	
Laugh		manual	emote	
Jump for Joy		manual	emote	
Yawn		manual	emote	
Dance		manual	emote	
Jig		manual	emote	
Spin		manual	emote	
Headbang		manual	emote	
Cry		manual	emote	
Blow Kiss		manual	emote	
Panic		manual	emote	
Raspberry		manual	emote	
Clap		manual	emote	
Salute		manual	emote	
Goblin Bow		manual	emote	
Goblin Salute		manual	emote	
Glass Box		manual	emote	
Climb Rope		manual	emote	
Lean		manual	emote	
Glass Wall		manual	emote	
Idea		manual	emote	
Stamp		manual	emote	
Flap		manual	emote	
Slap Head		manual	emote	
Zombie Walk		manual	emote	
Zombie Dance		manual	emote	
Scared		manual	emote	
Rabbit Hop		manual	emote	
Skill Cape		manual	emote	
Zombie Hand		manual	emote	
Air Guitar		manual	emote	
Sit up		manual	emote	
Push up		manual	emote	
Star jump		manual	emote	
Jog		manual	emote	
Flex		manual	emote	
Hypermobile Drinker		manual	emote	
Uri transform		manual	emote	
Smooth dance		manual	emote	
Crazy dance		manual	emote	
Premier Shield		manual	emote	
Explore		manual	emote	
Relic unlock		manual	emote	
Party		manual	emote	
Trick		manual	emote	
Fortis Salute		manual	emote	
Crab dance		manual	emote	
Sit down		manual	emote	
Bald		manual	hair_beard	
Dreadlocks		manual	hair_beard	
Long		manual	hair_beard	
Medium		manual	hair_beard	
Tonsure		manual	hair_beard	
Short		manual	hair_beard	
Cropped		manual	hair_beard	
Wild spikes		manual	hair_beard	
Spikes		manual	hair_beard	
Mohawk		manual	hair_beard	
Wind braids		manual	hair_beard	
Quiff		manual	hair_beard	
Samurai		manual	hair_beard	
Princely		manual	hair_beard	
Curtains		manual	hair_beard	
Long curtains		manual	hair_beard	
Front split		manual	hair_beard	
Tousled		manual	hair_beard	
Side wedge		manual	hair_beard	
Front wedge		manual	hair_beard	
Front spikes		manual	hair_beard	
Frohawk		manual	hair_beard	
Rear skirt		manual	hair_beard	
Queue		manual	hair_beard	
Bun		manual	hair_beard	
Pigtails		manual	hair_beard	
Earmuffs		manual	hair_beard	
Side pony		manual	hair_beard	
Curls		manual	hair_beard	
Ponytail		manual	hair_beard	
Braids		manual	hair_beard	
Bunches		manual	hair_beard	
Bob		manual	hair_beard	
Layered		manual	hair_beard	
Straight		manual	hair_beard	
Straight Braids		manual	hair_beard	
Two-back		manual	hair_beard	
Mullet		manual	hair_beard	
Undercut		manual	hair_beard	
Low Bun		manual	hair_beard	
Messy Bun		manual	hair_beard	
Pompadour		manual	hair_beard	
Afro		manual	hair_beard	
Short locs		manual	hair_beard	
Spiky Mohawk		manual	hair_beard	
Slicked Mohawk		manual	hair_beard	
Long Quiff		manual	hair_beard	
Short Choppy		manual	hair_beard	
Side Afro		manual	hair_beard	
Punk		manual	hair_beard	
Half-shaved		manual	hair_beard	
Fremennik		manual	hair_beard	
Elven		manual	hair_beard	
Medium Coils		manual	hair_beard	
High ponytail		manual	hair_beard	
Plaits		manual	hair_beard	
High Bunches		manual	hair_beard	
		manual	hair_beard	
Goatee		manual	hair_beard	
Handlebar		manual	hair_beard	
Moustache		manual	hair_beard	
Pointy		manual	hair_beard	
Split		manual	hair_beard	
Mutton		manual	hair_beard	
Full Mutton		manual	hair_beard	
Big Moustache		manual	hair_beard	
Waxed Moustache		manual	hair_beard	
Dali		manual	hair_beard	
Vizier		manual	hair_beard	
Rimmington		manual	location	
Taverley		manual	location	
Pollnivneach		manual	location	
Rellekka		manual	location	
Brimhaven		manual	location	
Yanille		manual	location	
Hosidius		manual	location	
Prifddinas		manual	location	
Ardougne		manual	location	
Desert		manual	location	
Falador		manual	location	
Fremennik		manual	location	
Kandarin		manual	location	
Karamja		manual	location	
Lumbridge & Draynor		manual	location	
Morytania		manual	location	
Varrock		manual	location	
Western Provinces		manual	location	
Wilderness		manual	location	
Kourend & Kebos		manual	location	
Shayzien		manual	location	
Arceuus		manual	location	
Lovakengj		manual	location	
Piscarilius		manual	location	
Al Kharid		manual	location	
Burgh de Rott		manual	location	
Burthorpe		manual	location	
Canifis		manual	location	
Kharidian Desert		manual	location	
Dorgesh-Kaan		manual	location	
Draynor Village		manual	location	
Entrana		manual	location	
Feldip Hills		manual	location	
Gnome Stronghold		manual	location	
Goblin Village		manual	location	
Isafdar		manual	location	
Kebos Lowlands		manual	location	
Keldagrim		manual	location	
Kingstown		manual	location	
Lletya		manual	location	
Lumbridge		manual	location	
Lunar Isle		manual	location	
Meiyerditch		manual	location	
Miscellania		manual	location	
Mort'ton		manual	location	
Mos Le'Harmless		manual	location	
Nardah		manual	location	
Port Phasmatys		manual	location	
Port Piscarilius		manual	location	
Piscatoris		manual	location	
Port Sarim		manual	location	
Seers' Village		manual	location	
Shilo Village		manual	location	
Silvarea		manual	location	
Slepe		manual	location	
Sophanem		manual	location	
Tai Bwo Wannai		manual	location	
Tree Gnome Village		manual	location	
Troll Stronghold		manual	location	
Witchaven		manual	location	
Civitas illa Fortis		manual	location	
Avium Savannah		manual	location	
Slayer Tower		manual	location	
Catacombs of Kourend		manual	location	
Stronghold Slayer Dungeon		manual	location	
Karuulm Slayer Dungeon		manual	location	
Chasm of Fire		manual	location	
Brimhaven Dungeon		manual	location	
Taverley Dungeon		manual	location	
Witchaven Dungeon		manual	location	
Waterfall Dungeon		manual	location	
God Wars Dungeon		manual	location	
Kalphite Lair		manual	location	
task-only Kalphite Cave		manual	location	
Kraken Cove		manual	location	
Waterbirth Island		manual	location	
Lizardman Canyon		manual	location	
Lizardman Settlement		manual	location	
Smoke Devil Dungeon		manual	location	
Death Plateau		manual	location	
South of Mount Quidamortem		manual	location	
Fremennik Slayer Dungeon		manual	location	
Myths' Guild Dungeon		manual	location	
Mourner Tunnels		manual	location	
Lithkren Vault		manual	location	
Ancient Cavern		manual	location	
Stronghold of Security		manual	location	
Fossil Island		manual	location	
Asgarnian Ice Dungeon		manual	location	
Ogre Enclave		manual	location	
Brine Rat Cavern		manual	location	
Zanaris		manual	location	
In the Lighthouse		manual	location	
Smoke Dungeon		manual	location	
Evil Chicken's Lair		manual	location	
The Abyss		manual	location	
Molch		manual	location	
Kebos Swamp		manual	location	
The Battlefront		manual	location	
Forthos Dungeon		manual	location	
Iorwerth Dungeon		manual	location	
Jormungand's Prison		manual	location	
Darkmeyer		manual	location	
Meiyerditch Laboratories		manual	location	
Isle of Souls		manual	location	
Giants' Den		manual	location	
Fremennik Isles		manual	location	
Poison Waste Dungeon		manual	location	
Neypotzli		manual	location	
The Teomat		manual	location	
Sunset Coast		manual	location	
Hunter Guild		manual	location	
Cam Torum Entrance		manual	location	
Colossal Wyrm Remains		manual	location	
Outer Fortis		manual	location	
Fortis Colosseum		manual	location	
Ice Mountain		manual	location	
Corsair Cove		manual	location	
Shayzien Graveyard of Heroes		manual	location	
Southern coast of Hosidius		manual	location	
Draynor Manor cellar		manual	location	
Wizards' Tower		manual	location	
Ardougne Rat Pits		manual	location	
The Kendal's cave		manual	location	
Ruins of Uzer		manual	location	
Crabclaw Caves or Waterbirth Island Dungeon		manual	location	
Chaos Altar		manual	location	
Wyvern Cave on Fossil Island		manual	location	
Trollweiss Mountain		manual	location	
Death Altar		manual	location	
Mos Le'Harmless Cave		manual	location	
Coronation ceremony during A Kingdom Divided.		manual	location	
Fight with the Giant Roc during My Arm's Big Adventure.		manual	location	
Scorpia's cave beneath the Scorpion Pit.		manual	location	
Beneath Cursed Sands		manual	location	
Perilous Moons		manual	location	
PvP Arena		manual	location	
Castle Wars		manual	location	
Ferox Enclave		manual	location	
Warrior's Guild		manual	location	
Champion's Guild 		manual	location	
Monestery		manual	location	
Ranging Guild		manual	location	
Grand Exchange		manual	location	
Falador Park		manual	location	
Dondakan's Rock		manual	location	
Barbarian Outpost		manual	location	
Corporeal Beast		manual	location	
Tears of Guthix		manual	location	
Wintertodt Camp		manual	location	
Fishing Guild		manual	location	
Mining Guild		manual	location	
Crafting Guild		manual	location	
Cooking Guild		manual	location	
Woodcutting Guild		manual	location	
Farming Guild		manual	location	
Edgeville		manual	location	
Vision		manual	music	
at the Wizards' Tower.		manual	music	
Volcanic Vikings		manual	music	
on Neitiznot.		manual	music	
Voodoo Cult		manual	music	
during the Legends' Quest.		manual	music	
Voyage		manual	music	
at Baxtorian Falls.		manual	music	
Waiting Game, The		manual	music	
The Waiting Game		manual	music	
in the Soul Wars lobby.		manual	music	
Waking Dream		manual	music	
during the Lunar Diplomacy quest.		manual	music	
Wally the Hero		manual	music	
during the Demon Slayer quest.		manual	music	
Wander		manual	music	
in Draynor Village.		manual	music	
Warpath		manual	music	
during the Clan Wars minigame.		manual	music	
Song of the Elves		manual	music	
during the Song of the Elves quest.		manual	music	
What Happens Below...		manual	music	
in the Warrens.		manual	music	
Warrior		manual	music	
during The Fremennik Trials quest.		manual	music	
Warriors' Guild		manual	music	
at the Warriors' Guild.		manual	music	
Doors of Dinh, The		manual	music	
The Doors of Dinh		manual	music	
in the Northern Tundras.		manual	music	
Waterfall		manual	music	
at the Baxtorian Falls.		manual	music	
Waterlogged		manual	music	
in Mort Myre Swamp.		manual	music	
Way of the Enchanter		manual	music	
in the Lunar Isle mine.		manual	music	
Way of the Wyrm		manual	music	
in the Karuulm Slayer Dungeon.		manual	music	
Wayward		manual	music	
in the Jiggig dungeon.		manual	music	
We are the Fairies		manual	music	
during the Fairytale II - Cure a Queen quest.		manual	music	
Lumbering		manual	music	
in Weiss.		manual	music	
Well of Voyage		manual	music	
during the Regicide quest.		manual	music	
Morytanian Mystery		manual	music	
during the Darkness of Hallowvale quest.		manual	music	
Where Eagles Lair		manual	music	
during the Eagles' Peak quest.		manual	music	
Wild Isle		manual	music	
in the Wilderness.		manual	music	
Wild Side		manual	music	
Wilderness		manual	music	
Revenants		manual	music	
in the Revenant Caves.		manual	music	
Wilderness 		manual	music	
Wildwood		manual	music	
Winter Funfair		manual	music	
during a Christmas event.		manual	music	
Ice and Fire		manual	music	
while fighting the Wintertodt.		manual	music	
Witching		manual	music	
Woe of the Wyvern		manual	music	
in the Asgarnian Ice Dungeon.		manual	music	
Wonder		manual	music	
Wonderous		manual	music	
near the Legends' Guild.		manual	music	
Woodland		manual	music	
at the Iorwerth Camp in Tirannwn.		manual	music	
Walk in the Woods, A		manual	music	
A Walk in the Woods		manual	music	
in the Kourend Woodland.		manual	music	
Work, Work, Work		manual	music	
Work\t Work\t Work		manual	music	
during the Tower of Life quest.		manual	music	
Workshop		manual	music	
in Falador.		manual	music	
Wrath and Ruin		manual	music	
in Tolna's Rift.		manual	music	
Part Where You Die, The		manual	music	
The Part Where You Die		manual	music	
during the A Kingdom Divided quest.		manual	music	
Predator Xarpus		manual	music	
in the Theatre of Blood.		manual	music	
Last King of the Yarasa		manual	music	
Xenophobe		manual	music	
in the Waterbirth Island Dungeon.		manual	music	
Festive Party, A		manual	music	
A Festive Party		manual	music	
Yesteryear		manual	music	
in Lumbridge.		manual	music	
Spurned Demon, The		manual	music	
The Spurned Demon		manual	music	
while fighting Zalcano.		manual	music	
Zamorak Zoo		manual	music	
in the God Wars Dungeon.		manual	music	
Zanik's Theme		manual	music	
during the Land of the Goblins quest.		manual	music	
Zaros Zeitgeist		manual	music	
Zealot		manual	music	
at the Water Altar.		manual	music	
Zogre Dance		manual	music	
south of Castle Wars.		manual	music	
On Thin Ice		manual	music	
during the Dragon Slayer II quest.		manual	music	
Zombiism		manual	music	
on Harmony Island.		manual	music	
Old Ones, The		manual	music	
The Old Ones		manual	music	
during The Garden of Death quest.		manual	music	
Secrets of the North		manual	music	
during the Secrets of the North quest.		manual	music	
In the Shadows		manual	music	
More Than Meets the Eye		manual	music	
Vault, The		manual	music	
The Vault		manual	music	
during the Desert Treasure II - The Fallen Empire quest.		manual	music	
Fallen Empire, The		manual	music	
The Fallen Empire		manual	music	
Prison Break		manual	music	
Scar Tissue		manual	music	
Worthy Foe, A		manual	music	
A Worthy Foe		manual	music	
Colossus of the Deep		manual	music	
Eye See You		manual	music	
Blood Rush		manual	music	
Song of the Silent Choir		manual	music	
Unturned Stones		manual	music	
Master of Puppets		manual	music	
His Faithful Servants		manual	music	
Tick Tock		manual	music	
Strangled		manual	music	
Bolrie's Diary		manual	music	
during The Path of Glouphrie quest.		manual	music	
Healin' Feelin'		manual	music	
Longramble Scramble, The		manual	music	
The Longramble Scramble		manual	music	
Storeroom Shuffle		manual	music	
Terrorbird Tussle		manual	music	
Waste Defaced		manual	music	
Dot's Yuletide		manual	music	
Children of the Sun		manual	music	
during the Children of the Sun quest.		manual	music	
Plots and Plans		manual	music	
Burning Sun, The		manual	music	
The Burning Sun		manual	music	
Undead Army		manual	music	
during the Defender of Varrock quest.		manual	music	
Dream Theatre, The		manual	music	
The Dream Theatre		manual	music	
Zombie Invasion		manual	music	
City of Sun, The		manual	music	
The City of Sun		manual	music	
in Civitas illa Fortis.		manual	music	
Undying Light, The		manual	music	
The Undying Light		manual	music	
in the Avium Savannah.		manual	music	
Guidance of Ralos, The		manual	music	
The Guidance of Ralos		manual	music	
on Ralos' Rise.		manual	music	
Under the Mountain		manual	music	
in Cam Torum.		manual	music	
Ready for the Hunt		manual	music	
in the Hunter Guild.		manual	music	
Are You Not Entertained?		manual	music	
in the Fortis Colosseum.		manual	music	
Moons of Ruin, The		manual	music	
The Moons of Ruin		manual	music	
during the Perilous Moons quest.		manual	music	
Lost to Time		manual	music	
Sunny Side Up		manual	music	
during the Easter  Holiday Event.		manual	music	
Animal Magnetism		manual	quest	
Learn how to equip Ava's ranged devices.		manual	quest	
Another Slice of H.A.M.		manual	quest	
Learn how to use the Goblin Village teleport spheres.		manual	quest	
Ascent of Arceuus, The		manual	quest	
The Ascent of Arceuus		manual	quest	
Gain the Arceuus Memoirs teleport.		manual	quest	
Alfred Grimhand's Barcrawl		manual	quest	
MQ: Alfred Grimhand's Barcrawl		manual	quest	
Embark on a Barbarian rite of passage.		manual	quest	
Bear Your Soul		manual	quest	
MQ: Bear Your Soul		manual	quest	
Gain the Soul Bearer.		manual	quest	
Below Ice Mountain		manual	quest	
Gain access to the Ruins of Camdozaal.		manual	quest	
Between a Rock...		manual	quest	
Gain access to the Arzinian Gold Mine.		manual	quest	
Big Chompy Bird Hunting		manual	quest	
Learn how to hunt Chompy Birds.		manual	quest	
Biohazard		manual	quest	
Unlock the West Ardougne teleport spell.		manual	quest	
Black Knights' Fortress		manual	quest	
Assist the White Knights with their investigation.		manual	quest	
Bone Voyage		manual	quest	
Gain access to Fossil Island.		manual	quest	
Cabin Fever		manual	quest	
Gain access to Mos'LeHarmless.		manual	quest	
Client of Kourend		manual	quest	
Gain Kharedst's Memoirs.		manual	quest	
Clock Tower		manual	quest	
Help Brother Kojo repair the Clock Tower.		manual	quest	
Cold War		manual	quest	
Gain access to the Penguin Agility Course.		manual	quest	
Contact!		manual	quest	
Gain the Keris dagger.		manual	quest	
Cook's Assistant		manual	quest	
Help the Lumbridge Castle Cook out of his baking bind.		manual	quest	
Corsair Curse, The		manual	quest	
The Corsair Curse		manual	quest	
Gain access to the Corsair Cove Bank.		manual	quest	
Creature of Fenkenstrain		manual	quest	
Gain a Ring of Charos.		manual	quest	
Curse of the Empty Lord		manual	quest	
MQ: Curse of the Empty Lord		manual	quest	
Gain a set of Ghostly Robes.		manual	quest	
Daddy's Home		manual	quest	
MQ: Daddy's Home		manual	quest	
Learn about the Construction skill.		manual	quest	
Darkness of Hallowvale		manual	quest	
Learn the reverse Temple Trekking routes.		manual	quest	
Death Plateau		manual	quest	
Gain a set of Climbing Boots.		manual	quest	
Death to the Dorgeshuun		manual	quest	
Gain access to the H.A.M Store Room.		manual	quest	
Demon Slayer		manual	quest	
Face your destiny in Varrock.		manual	quest	
Depths of Despair, The		manual	quest	
The Depths of Despair		manual	quest	
Gain the Hosidius Memoirs teleport.		manual	quest	
Desert Treasure I		manual	quest	
Learn how to use the Ancient Magicks.		manual	quest	
Devious Minds		manual	quest	
Dig Site, The		manual	quest	
The Dig Site		manual	quest	
Learn how to clean specimens in Varrock Museum.		manual	quest	
Doric's Quest		manual	quest	
Gain early game Mining XP.		manual	quest	
Dragon Slayer I		manual	quest	
Learn how to equip Rune and Dragon Platebodies.		manual	quest	
Dragon Slayer II		manual	quest	
Gain great XP and access to the Myth's Guild.		manual	quest	
Dream Mentor		manual	quest	
Learn how to cast more Lunar spells.		manual	quest	
Druidic Ritual		manual	quest	
Unlock the Herblore skill.		manual	quest	
Dwarf Cannon		manual	quest	
Learn how to use a Dwarf Multicannons.		manual	quest	
Eadgar's Ruse		manual	quest	
Learn how to grow and steal Goutweed.		manual	quest	
Eagles' Peak		manual	quest	
Gain access to the Eagle transportation and Box Traps.		manual	quest	
Elemental Workshop I		manual	quest	
Rediscover the knowledge hidden in Seers' Village.		manual	quest	
Elemental Workshop II		manual	quest	
Learn how to equip Mind equipment.		manual	quest	
Enakhra's Lament		manual	quest	
Gain a Camulet.		manual	quest	
Enchanted Key, The		manual	quest	
The Enchanted Key		manual	quest	
MQ: The Enchanted Key		manual	quest	
Hunt for hidden treasure using the Enchanted Key.		manual	quest	
Enlightened Journey		manual	quest	
Gain access to the Balloon transportation.		manual	quest	
Enter the Abyss		manual	quest	
