english	translation	category	sub_category	source
Dwarf remains		name	item	Dwarf remains
Toolkit		name	item	Toolkit
Nulodion's notes		name	item	Nulodion's notes
Ammo mould		name	item	Ammo mould
Instruction manual		name	item	Instruction manual
Cannon base		name	item	Cannon base
Cannon stand		name	item	Cannon stand
Cannon barrels		name	item	Cannon barrels
Cannon furnace		name	item	Cannon furnace
Railing		name	item	Railing
Holy table napkin		name	item	Holy table napkin
Magic whistle		name	item	Magic whistle
Grail bell		name	item	Grail bell
Magic gold feather		name	item	Magic gold feather
Holy grail		name	item	Holy grail
White cog		name	item	White cog
Black cog		name	item	Black cog
Blue cog		name	item	Blue cog
Red cog		name	item	Red cog
Rat poison		name	item	Rat poison
Red vine worm		name	item	Red vine worm
Fishing trophy		name	item	Fishing trophy
Fishing pass		name	item	Fishing pass
Insect repellent		name	item	Insect repellent
Bucket of wax		name	item	Bucket of wax
Lit black candle		name	item	Lit black candle
Lit candle		name	item	Lit candle
Candle		name	item	Candle
Black candle		name	item	Black candle
Bronze arrowtips		name	item	Bronze arrowtips
Iron arrowtips		name	item	Iron arrowtips
Steel arrowtips		name	item	Steel arrowtips
Mithril arrowtips		name	item	Mithril arrowtips
Adamant arrowtips		name	item	Adamant arrowtips
Rune arrowtips		name	item	Rune arrowtips
Barb bolttips		name	item	Barb bolttips
Khali brew		name	item	Khali brew
Lever		name	item	Lever
Shiny key		name	item	Shiny key
Pendant of lucien		name	item	Pendant of lucien
Armadyl pendant		name	item	Armadyl pendant
Child's blanket		name	item	Child's blanket
Potion		name	item	Potion
Poison chalice		name	item	Poison chalice
Grimy guam leaf		name	item	Grimy guam leaf
Grimy marrentill		name	item	Grimy marrentill
Grimy tarromin		name	item	Grimy tarromin
Grimy harralander		name	item	Grimy harralander
Grimy ranarr weed		name	item	Grimy ranarr weed
Grimy irit leaf		name	item	Grimy irit leaf
Grimy avantoe		name	item	Grimy avantoe
Grimy kwuarm		name	item	Grimy kwuarm
Grimy cadantine		name	item	Grimy cadantine
Grimy dwarf weed		name	item	Grimy dwarf weed
Grimy torstol		name	item	Grimy torstol
Eye of newt		name	item	Eye of newt
Red spiders' eggs		name	item	Red spiders' eggs
Limpwurt root		name	item	Limpwurt root
Vial of water		name	item	Vial of water
Vial		name	item	Vial
Snape grass		name	item	Snape grass
Pestle and mortar		name	item	Pestle and mortar
Unicorn horn dust		name	item	Unicorn horn dust
Unicorn horn		name	item	Unicorn horn
White berries		name	item	White berries
Dragon scale dust		name	item	Dragon scale dust
Blue dragon scale		name	item	Blue dragon scale
Wine of zamorak		name	item	Wine of zamorak
Jangerberries		name	item	Jangerberries
Guam leaf		name	item	Guam leaf
Marrentill		name	item	Marrentill
Tarromin		name	item	Tarromin
Harralander		name	item	Harralander
Ranarr weed		name	item	Ranarr weed
Irit leaf		name	item	Irit leaf
Avantoe		name	item	Avantoe
Kwuarm		name	item	Kwuarm
Cadantine		name	item	Cadantine
Dwarf weed		name	item	Dwarf weed
Torstol		name	item	Torstol
Pressure gauge		name	item	Pressure gauge
Fish food		name	item	Fish food
Poison		name	item	Poison
Poisoned fish food		name	item	Poisoned fish food
Key		name	item	Key
Rubber tube		name	item	Rubber tube
Oil can		name	item	Oil can
Sheep feed		name	item	Sheep feed
Sheep bones (1)		name	item	Sheep bones (1)
Sheep bones (2)		name	item	Sheep bones (2)
Sheep bones (3)		name	item	Sheep bones (3)
Sheep bones (4)		name	item	Sheep bones (4)
Plague jacket		name	item	Plague jacket
Plague trousers		name	item	Plague trousers
Orange goblin mail		name	item	Orange goblin mail
Blue goblin mail		name	item	Blue goblin mail
Goblin mail		name	item	Goblin mail
Book on baxtorian		name	item	Book on baxtorian
Glarial's pebble		name	item	Glarial's pebble
Glarial's amulet		name	item	Glarial's amulet
Glarial's urn		name	item	Glarial's urn
Glarial's urn (empty)		name	item	Glarial's urn (empty)
Mithril seeds		name	item	Mithril seeds
Rat's tail		name	item	Rat's tail
Lobster pot		name	item	Lobster pot
Small fishing net		name	item	Small fishing net
Big fishing net		name	item	Big fishing net
Fishing rod		name	item	Fishing rod
Fly fishing rod		name	item	Fly fishing rod
Harpoon		name	item	Harpoon
Fishing bait		name	item	Fishing bait
Feather		name	item	Feather
Shrimps		name	item	Shrimps
Raw shrimps		name	item	Raw shrimps
Anchovies		name	item	Anchovies
Raw anchovies		name	item	Raw anchovies
Burnt fish		name	item	Burnt fish
Sardine		name	item	Sardine
Raw sardine		name	item	Raw sardine
Salmon		name	item	Salmon
Raw salmon		name	item	Raw salmon
Trout		name	item	Trout
Raw trout		name	item	Raw trout
Giant carp		name	item	Giant carp
Raw giant carp		name	item	Raw giant carp
Cod		name	item	Cod
Raw cod		name	item	Raw cod
Raw herring		name	item	Raw herring
Herring		name	item	Herring
Raw pike		name	item	Raw pike
Pike		name	item	Pike
Raw mackerel		name	item	Raw mackerel
Mackerel		name	item	Mackerel
Raw tuna		name	item	Raw tuna
Tuna		name	item	Tuna
Raw bass		name	item	Raw bass
Bass		name	item	Bass
Raw swordfish		name	item	Raw swordfish
Burnt swordfish		name	item	Burnt swordfish
Raw lobster		name	item	Raw lobster
Lobster		name	item	Lobster
Burnt lobster		name	item	Burnt lobster
Raw shark		name	item	Raw shark
Burnt shark		name	item	Burnt shark
Raw manta ray		name	item	Raw manta ray
Burnt manta ray		name	item	Burnt manta ray
Raw sea turtle		name	item	Raw sea turtle
Sea turtle		name	item	Sea turtle
Burnt sea turtle		name	item	Burnt sea turtle
Seaweed		name	item	Seaweed
Edible seaweed		name	item	Edible seaweed
Casket		name	item	Casket
Oyster		name	item	Oyster
Empty oyster		name	item	Empty oyster
Oyster pearl		name	item	Oyster pearl
Oyster pearls		name	item	Oyster pearls
Lathas' amulet		name	item	Lathas' amulet
Medical gown		name	item	Medical gown
Karamjan rum		name	item	Karamjan rum
Chest key		name	item	Chest key
Pirate message		name	item	Pirate message
Clay		name	item	Clay
Barcrawl card		name	item	Barcrawl card
Scorpion cage		name	item	Scorpion cage
Strange fruit		name	item	Strange fruit
Enchanted beef		name	item	Enchanted beef
Enchanted rat		name	item	Enchanted rat
Enchanted bear		name	item	Enchanted bear
Enchanted chicken		name	item	Enchanted chicken
Bones		name	item	Bones
Burnt bones		name	item	Burnt bones
Bat bones		name	item	Bat bones
Big bones		name	item	Big bones
Babydragon bones		name	item	Babydragon bones
Dragon bones		name	item	Dragon bones
Newcomer map		name	item	Newcomer map
Fire rune		name	item	Fire rune
Water rune		name	item	Water rune
Air rune		name	item	Air rune
Earth rune		name	item	Earth rune
Mind rune		name	item	Mind rune
Body rune		name	item	Body rune
Death rune		name	item	Death rune
Nature rune		name	item	Nature rune
Chaos rune		name	item	Chaos rune
Law rune		name	item	Law rune
Cosmic rune		name	item	Cosmic rune
Blood rune		name	item	Blood rune
Soul rune		name	item	Soul rune
Unpowered orb		name	item	Unpowered orb
Fire orb		name	item	Fire orb
Water orb		name	item	Water orb
Air orb		name	item	Air orb
Earth orb		name	item	Earth orb
Bailing bucket		name	item	Bailing bucket
Orb of protection		name	item	Orb of protection
Orbs of protection		name	item	Orbs of protection
Tinderbox		name	item	Tinderbox
Ashes		name	item	Ashes
Lit torch		name	item	Lit torch
Torch		name	item	Torch
Unlit torch		name	item	Unlit torch
Astronomy book		name	item	Astronomy book
Goblin kitchen key		name	item	Goblin kitchen key
Lens mould		name	item	Lens mould
Observatory lens		name	item	Observatory lens
Bone shard		name	item	Bone shard
Bone key		name	item	Bone key
Stone-plaque		name	item	Stone-plaque
Tattered scroll		name	item	Tattered scroll
Crumpled scroll		name	item	Crumpled scroll
Rashiliyia corpse		name	item	Rashiliyia corpse
Zadimus corpse		name	item	Zadimus corpse
Locating crystal		name	item	Locating crystal
Coins		name	item	Coins
Bone beads		name	item	Bone beads
Paramaya ticket		name	item	Paramaya ticket
Ship ticket		name	item	Ship ticket
Sword pommel		name	item	Sword pommel
Bervirius notes		name	item	Bervirius notes
Wampum belt		name	item	Wampum belt
Portrait		name	item	Portrait
Blurite ore		name	item	Blurite ore
Specimen jar		name	item	Specimen jar
Specimen brush		name	item	Specimen brush
Animal skull		name	item	Animal skull
Special cup		name	item	Special cup
Teddy		name	item	Teddy
Cracked sample		name	item	Cracked sample
