english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.		lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Falador low wall climb.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Cross the River Lum to Al Kharid.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Corsair Cove shortcut and Rope-swing to Moss Giant Island.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Scale Falador wall.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Stepping stones in Karamja Dungeon.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Jump fence south of Varrock.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Scale Goblin village wall.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Leaping trout, Corsair Cove Dungeon shortcut and Monkey bars under Edgeville.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Yanille Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Kourend Catacombs Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Slayer Tower Banshee shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Coal Truck log balance, Medium-level Agility Arena obstacles and Al Kharid Rooftop Course.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Grand Exchange Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Pipe contortion in Karamja Dungeon.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Scale the Observatory cliff.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Nemus Retreat wall climbs.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Burgh de Rott fence, Eagles' Peak Agility shortcut and Werewolf Skullball game.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Falador Agility shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Kourend Catacombs pillar jump shortcut.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Mount Karuulm lower cliffside climb.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Salmon leaping, Corsair Cove Resource Area shortcut, Stepping stones in south-eastern Karamja, Penguin Agility Course, Varrock Rooftop Course and Agility Pyramid.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Draynor Manor stones to Champions' Guild.		lvl_up_msg	Transcript of Agility	Transcript of Agility
You have unlocked: Shilo Village river crossing and Scale the Catherby cliff.		lvl_up_msg	Transcript of Agility	Transcript of Agility
