english	translation	category	sub_category	source
Hello.		dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.		dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.		dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
'Bye.		dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?		dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!		dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!		dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?		dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...		dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!		dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?		dialogue	'Beedy-eye' Jones	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
So... You're a pirate, huh?		dialogue	'Beedy-eye' Jones	Player
It's what it says on my pay-packet at the end of the month.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
How's that working out for you?		dialogue	'Beedy-eye' Jones	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You mean you have insurance?		dialogue	'Beedy-eye' Jones	Player
Not as such. If any of us get sick we kidnap a doctor and don't let him go until we're better.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You'd be surprised what an incentive for expert health care that is.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I can imagine.		dialogue	'Beedy-eye' Jones	Player
Hello there. So what brings you aboard the Lady Zay?		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well, I was planning on visiting the Moon Clan, but I have to say your ship is very impressive.		dialogue	'Beedy-eye' Jones	Player
Aye, she's a beauty alright! The Lady Zay has been my home for many hard months, through storm and sun, and she always gets us to here we were headed!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yes, she's certainly one of the finest boats I've seen on my travels!		dialogue	'Beedy-eye' Jones	Player
That she is [lad/lass], that she is.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello to you too.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yar! We be pirates, yar! Avast, ye scurvy land-lubbing lychee!		dialogue	'Beedy-eye' Jones	Player
Please don't talk like that, it is extremely irritating.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Also, please don't call me a lychee, whatever that may be.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Oh. Okay. Sorry.		dialogue	'Beedy-eye' Jones	Player
So how's life as a pirate?		dialogue	'Beedy-eye' Jones	Player
What kind of question is that? How's life as a... I dunno. Whatever it is that you do for a living.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm a freelance troubleshooter.		dialogue	'Beedy-eye' Jones	Player
What does that entail then?		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Mostly killing things for money and delivering items around the planet for people.		dialogue	'Beedy-eye' Jones	Player
I collect stuff.		dialogue	'Beedy-eye' Jones	Player
So how's that life?		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Can't complain, can't complain...		dialogue	'Beedy-eye' Jones	Player
Well, there you go.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Sorry, can't stop, the Captain will have my guts for garters if he catches me slacking off talking to the stowaway.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard!		dialogue	'Beedy-eye' Jones	Player
Yeah, whatever [guy/lady], it doesn't really matter who you are I'll get in trouble!		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You know, I've always wondered what life as a pirate actually entails.		dialogue	'Beedy-eye' Jones	Player
Well, at the moment it mostly involves being asked random questions by a stowaway.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard! By Lokar! Ask him!		dialogue	'Beedy-eye' Jones	Player
Hey, whatever [love/pal]. Just make sure the captain doesn't catch you, pirates don't like stowaways much.		dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
What are you cooking?		dialogue	'Beefy' Burns	Player
My speciality! What else could I be cooking?		dialogue	'Beefy' Burns	'Beefy' Burns
Ok, and your speciality is...?		dialogue	'Beefy' Burns	Player
Boiled shark guts with a hint of rosemary and a dash of squid ink.		dialogue	'Beefy' Burns	'Beefy' Burns
I think I'll stick to making my own food.		dialogue	'Beefy' Burns	Player
Your loss!		dialogue	'Beefy' Burns	'Beefy' Burns
Hello.		dialogue	'Betty' B.Boppin	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
No, Lokar offered me a lift in Rellekka actually.		dialogue	'Betty' B.Boppin	Player
Oh, really? You don't look like a Fremennik to me!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Well... I kind of am, and I kind of aren't. It's a long story.		dialogue	'Betty' B.Boppin	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
'Bye.		dialogue	'Betty' B.Boppin	Player
You know, I've always wondered what life as a pirate actually entails.		dialogue	'Betty' B.Boppin	Player
Well, at the moment it mostly involves being asked random questions by a stowaway.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I'm not a stowaway! I was invited aboard! By Lokar! Ask him!		dialogue	'Betty' B.Boppin	Player
Hey, whatever [love/pal]. Just make sure the captain doesn't catch you, pirates don't like stowaways much.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Brrrr! Its cold up here!		dialogue	'Betty' B.Boppin	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
REALLY?		dialogue	'Betty' B.Boppin	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Sorry, can't stop, the Captain will have my guts for garters if he catches me slacking off talking to the stowaway.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I'm not a stowaway! I was invited aboard!		dialogue	'Betty' B.Boppin	Player
Yeah, whatever [guy/lady], it doesn't really matter who you are I'll get in trouble!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Hello.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
So... You're a pirate, huh?		dialogue	'Betty' B.Boppin	Player
It's what it says on my pay-packet at the end of the month.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
How's that working out for you?		dialogue	'Betty' B.Boppin	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
You mean you have insurance?		dialogue	'Betty' B.Boppin	Player
Not as such. If any of us get sick we kidnap a doctor and don't let him go until we're better.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
You'd be surprised what an incentive for expert health care that is.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I can imagine.		dialogue	'Betty' B.Boppin	Player
Hello there. So what brings you aboard the Lady Zay?		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Well, I was planning on visiting the Moon Clan, but I have to say your ship is very impressive.		dialogue	'Betty' B.Boppin	Player
Aye, she's a beauty alright! The Lady Zay has been my home for many hard months, through storm and sun, and she always gets us to here we were headed!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Yes, she's certainly one of the finest boats I've seen on my travels!		dialogue	'Betty' B.Boppin	Player
That she is [lad/lass], that she is.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
So how's life as a pirate?		dialogue	'Betty' B.Boppin	Player
What kind of question is that? How's life as a... I dunno. Whatever it is that you do for a living.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I'm a freelance troubleshooter.		dialogue	'Betty' B.Boppin	Player
What does that entail then?		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Mostly killing things for money and delivering items around the planet for people.		dialogue	'Betty' B.Boppin	Player
So how's that life?		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Can't complain, can't complain...		dialogue	'Betty' B.Boppin	Player
Well, there you go.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Aren't you a little short for a pirate?		dialogue	'Betty' B.Boppin	Player
My mother was a gnome. Apparently it was a very painful birth.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
More info than I wanted, thanks!		dialogue	'Betty' B.Boppin	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
No! I'm not a stowaway! Honest! I was invited here!		dialogue	'Betty' B.Boppin	Player
Oh, sorry, my mistake then.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Why, what do they usually look like?		dialogue	'Betty' B.Boppin	Player
Erm... I've never actually met one...		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Okay then...		dialogue	'Betty' B.Boppin	Player
Hello to you too.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Yar! We be pirates, yar! Avast, ye scurvy land-lubbing lychee!		dialogue	'Betty' B.Boppin	Player
Please don't talk like that, it is extremely irritating.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Also, please don't call me a lychee, whatever that may be.		dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Oh. Okay. Sorry.		dialogue	'Betty' B.Boppin	Player
I feel a little sea-sick from this travelling.		dialogue	'Birds-Eye' Jack	Player
Well there's a good remedy for that.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
There is?		dialogue	'Birds-Eye' Jack	Player
Yes.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
What?		dialogue	'Birds-Eye' Jack	Player
Swim.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
Oh HA HA. Thanks for the help!		dialogue	'Birds-Eye' Jack	Player
My pleasure.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
I was being sarcastic.		dialogue	'Birds-Eye' Jack	Player
I know. So was I.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
I'd like to access my bank account, please.		dialogue	'Birds-Eye' Jack	Player
I'd like to collect items.		dialogue	'Birds-Eye' Jack	Player
I'd like to check my PIN settings.		dialogue	'Birds-Eye' Jack	Player
What is this place?		dialogue	'Birds-Eye' Jack	Player
This is a branch of the Bank of Gielinor. We have branches in many towns.		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
And what do you do?		dialogue	'Birds-Eye' Jack	Player
We will look after your items and money for you. Leave your valuables with us if you want to keep them safe.		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
Hi.		dialogue	'Birds-Eye' Jack	Player
How's Cyrisus? Where is he?		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
He's fine now. Back to full health.		dialogue	'Birds-Eye' Jack	Player
Good, I'm pleased.		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
No problem.		dialogue	'Birds-Eye' Jack	Player
Don't think that this means I like you now!		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
Look at my face.		dialogue	'Birds-Eye' Jack	Player
Yes? What about it.		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
Does it look like I care?		dialogue	'Birds-Eye' Jack	Player
Not really.		dialogue	'Birds-Eye' Jack	'Bird's-Eye' Jack
Well, there you go.		dialogue	'Birds-Eye' Jack	Player
Using the bank		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
I'd like to access my bank account, please.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
I'd like to collect items.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
I'd like to check my PIN settings.		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
What is this place?		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
Cyrisus in the mine		dialogue	'Birds-Eye' Jack	'Birds-Eye' Jack
What's going on?		dialogue	'Black-eye'	Player
Ah, we be building this 'ere tower. Lookin' good ain't it?		dialogue	'Black-eye'	'Black-eye'
It does look pretty impressive, but what are you doing hanging around?		dialogue	'Black-eye'	Player
Tea break, naturally.		dialogue	'Black-eye'	'Black-eye'
Naturally. Not sure why I asked.		dialogue	'Black-eye'	Player
Fancy some?		dialogue	'Black-eye'	'Black-eye'
Tea? Sure.		dialogue	'Black-eye'	Player
You'll find a kettle in the box to the-		dialogue	'Black-eye'	'Black-eye'
Erm...yeah...no...sorry...gotta go.		dialogue	'Black-eye'	Player
Say, that's a nice helmet.		dialogue	'Black-eye'	Player
Why, thanks.		dialogue	'Black-eye'	'Black-eye'
I was just wondering if you might be able to help me out with one?		dialogue	'Black-eye'	Player
Always glad to help a budding builder. But first, prove your Construction knowledge by answering some questions.		dialogue	'Black-eye'	'Black-eye'
How many nails does it take to make a rocking chair?		dialogue	'Black-eye'	'Black-eye'
One?		dialogue	'Black-eye'	Player
One? How do you suppose you'd use a single nail?		dialogue	'Black-eye'	'Black-eye'
Five?		dialogue	'Black-eye'	Player
